,SECTORID,SECTORNAME,STARTIC,ENDIC,LENGTH,LANENO,INTDIR,GROUPID,LANELENGTH,MODEL,CMSDESC,STATUS,TRAVELTIME,CAPACITY,START_X,START_Y,END_X,END_Y
620,L05604,長和路二段(長和路二段12巷213弄>長和路二段12巷),I0740,I0560,390,2,0,0,7,十字型,0,y,10,10,120.22308600000001,23.06808,120.22466499999999,23.064251000000002
621,L29074,台1線(三福化工公司->目加溜灣大道),I3138,I2907,305,2,0,0,7,十字型,0,y,10,10,0.0,0.0,120.31843899999998,23.11898
622,L31390,台1線(三福化工公司->台1線 313K+950),I3138,I3139,245,2,0,0,7,十字型,0,y,10,10,0.0,0.0,0.0,0.0
623,L31384,台1線(台1線 313K+950->三福化工公司),I3139,I3138,245,2,0,0,7,十字型,0,y,10,10,0.0,0.0,0.0,0.0
624,L29050,台1線(台1線 313K+950->市道178線),I3139,I2905,341,2,0,0,7,十字型,0,y,10,10,0.0,0.0,120.31871799999999,23.127211
625,L31394,台1線(市道178線->台1線 313K+950),I2905,I3139,341,2,0,0,7,十字型,0,y,10,10,120.31871799999999,23.127211,0.0,0.0
626,L29051,台1線(市道178線->成功新村前),I2905,I2904,169,2,0,0,7,十字型,0,y,10,10,120.31871799999999,23.127211,120.319305,23.128655
627,L31395,台1線(成功新村前->市道178線),I2904,I2905,169,2,0,0,7,十字型,0,y,10,10,120.319305,23.128655,120.31871799999999,23.127211
628,L31401,台1線(成功新村前->台1線 312K+600),I2904,I3140,800,2,0,0,7,十字型,0,y,10,10,120.319305,23.128655,120.32203200000001,23.135514999999998
629,L29045,台1線(台1線 312K+600->成功新村前),I3140,I2904,800,2,0,0,7,十字型,0,y,10,10,120.32203200000001,23.135514999999998,120.319305,23.128655
630,L31411,台1線(台1線 312K+600->南127-1鄉道),I3140,I3141,200,2,0,0,7,十字型,0,y,10,10,120.32203200000001,23.135514999999998,120.32271499999999,23.137222
631,L31405,台1線(南127-1鄉道->台1線 312K+600),I3141,I3140,200,2,0,0,7,十字型,0,y,10,10,120.32271499999999,23.137222,120.32203200000001,23.135514999999998
632,L31421,台1線(南127-1鄉道->南124鄉道),I3141,I3142,179,2,0,0,7,十字型,0,y,10,10,120.32271499999999,23.137222,120.323323,23.138807
633,L31415,台1線(南124鄉道->南127-1鄉道),I3142,I3141,179,2,0,0,7,十字型,0,y,10,10,120.323323,23.138807,120.32271499999999,23.137222
634,L31431,台1線(南124鄉道->南129鄉道南端),I3142,I3143,749,2,0,0,7,十字型,0,y,10,10,120.323323,23.138807,120.32732800000001,23.144347
635,L31425,台1線(南129鄉道南端->南124鄉道),I3143,I3142,753,2,0,0,7,十字型,0,y,10,10,120.32732800000001,23.144347,120.323323,23.138807
636,L29031,台1線(南129鄉道南端->臺南市肉品市場前),I3143,I2903,761,2,0,0,7,十字型,0,y,10,10,120.32732800000001,23.144347,120.332586,23.149255
637,L31435,台1線(臺南市肉品市場前->南129鄉道南端),I2903,I3143,761,2,0,0,7,十字型,0,y,10,10,120.332586,23.149255,120.32732800000001,23.144347
638,L31441,台1線(臺南市肉品市場前->南129鄉道北端),I2903,I3144,180,2,0,0,7,十字型,0,y,10,10,120.332586,23.149255,0.0,0.0
639,L29035,台1線(南129鄉道北端->臺南市肉品市場前),I3144,I2903,180,2,0,0,7,十字型,0,y,10,10,0.0,0.0,120.332586,23.149255
640,L22731,台1線(南129鄉道北端->南181線),I3144,I2273,1353,2,0,0,7,十字型,0,y,10,10,0.0,0.0,0.0,0.0
641,L31445,台1線(南181線->南129鄉道北端),I2273,I3144,1348,2,0,0,7,十字型,0,y,10,10,0.0,0.0,0.0,0.0
642,L28450,台1線(南181線->渡頭交流道),I2273,I2845,318,2,0,0,7,十字型,0,y,10,10,0.0,0.0,,
643,L22734,台1線(渡頭交流道->南181線),I2845,I2273,315,2,0,0,7,十字型,0,y,10,10,,,0.0,0.0
644,L15393,台1線(台1線 303K+200->南114線),I3146,I1539,233,2,0,0,7,十字型,0,y,10,10,,,0.0,0.0
645,L15387,台1線(台1線 303K+200->新麗紡織前),I3146,I1538,734,2,0,0,7,十字型,0,y,10,10,,,0.0,0.0
646,L31463,台1線(新麗紡織前->台1線 303K+200),I1538,I3146,734,2,0,0,7,十字型,0,y,10,10,0.0,0.0,,
647,L15377,台1線(新麗紡織前->南118線),I1538,I1537,489,2,0,0,7,十字型,0,y,10,10,0.0,0.0,0.0,0.0
648,L15383,台1線(南118線->新麗紡織前),I1537,I1538,491,2,0,0,7,十字型,0,y,10,10,0.0,0.0,0.0,0.0
649,L31471,台1線(南118線->威致鋼鐵工業公司),I1537,I3147,1362,2,0,0,7,十字型,0,y,10,10,0.0,0.0,,
650,L15373,台1線(威致鋼鐵工業公司->南118線),I3147,I1537,1368,2,0,0,7,十字型,0,y,10,10,,,0.0,0.0
651,L31481,台1線(威致鋼鐵工業公司->南60-1鄉道),I3147,I3148,451,2,0,0,7,十字型,0,y,10,10,,,,
652,L31475,台1線(南60-1鄉道->威致鋼鐵工業公司),I3148,I3147,453,2,0,0,7,十字型,0,y,10,10,,,,
653,L15360,台1線(南60-1鄉道->市道174線),I3148,I1536,1291,2,0,0,7,十字型,0,y,10,10,,,0.0,0.0
654,L31485,台1線(市道174線->南60-1鄉道),I1536,I3148,1288,2,0,0,7,十字型,0,y,10,10,0.0,0.0,,
655,L31490,台1線(市道174線->台1線298K+650),I1536,I3149,112,2,0,0,7,十字型,0,y,10,10,0.0,0.0,,
656,L15364,台1線(台1線298K+650->市道174線),I3149,I1536,112,2,0,0,7,十字型,0,y,10,10,,,0.0,0.0
657,L15357,台1線(台1線298K+650->南60線),I3149,I1535,287,2,0,0,7,十字型,0,y,10,10,,,0.0,0.0
658,L31494,台1線(南60線->台1線298K+650),I1535,I3149,284,2,0,0,7,十字型,0,y,10,10,0.0,0.0,,
659,L15347,台1線(南60線->南68線),I1535,I1534,721,2,0,0,7,十字型,0,y,10,10,0.0,0.0,0.0,0.0
660,L15353,台1線(南68線->南60線),I1534,I1535,721,2,0,0,7,十字型,0,y,10,10,0.0,0.0,0.0,0.0
661,L15337,台1線(南68線->龜港里218巷),I1534,I1533,263,2,0,0,7,十字型,0,y,10,10,0.0,0.0,0.0,0.0
662,L15343,台1線(龜港里218巷->南68線),I1533,I1534,263,2,0,0,7,十字型,0,y,10,10,0.0,0.0,0.0,0.0
663,L15327,台1線(龜港里218巷->市道174線),I1533,I1532,80,2,0,0,7,十字型,0,y,10,10,0.0,0.0,0.0,0.0
664,L15333,台1線(市道174線->龜港里218巷),I1532,I1533,80,2,0,0,7,十字型,0,y,10,10,0.0,0.0,0.0,0.0
665,L15310,台1線(市道174線->祿園),I1532,I1531,811,2,0,0,7,十字型,0,y,10,10,0.0,0.0,120.31271000000001,23.260783
666,L15323,台1線(祿園->市道174線),I1531,I1532,812,2,0,0,7,十字型,0,y,10,10,120.31271000000001,23.260783,0.0,0.0
667,L15300,台1線(祿園->柳營路336巷),I1531,I1530,485,2,0,0,7,十字型,0,y,10,10,120.31271000000001,23.260783,0.0,0.0
668,L15314,台1線(柳營路336巷->祿園),I1530,I1531,484,2,0,0,7,十字型,0,y,10,10,0.0,0.0,120.31271000000001,23.260783
669,L29786,永科南路(永科王田大道->王行路),I3163,I2978,636,2,0,0,7,十字型,0,y,10,10,120.28041599999999,23.033868,0.0,0.0
